id;invoice_id;payment_date;amount_paid
149;161;2011-03-01;45
150;163;2013-12-18;45
151;164;2014-07-01;99.65
152;166;2016-07-16;45
153;168;2018-07-18;45
154;169;2015-07-22;45
155;170;2016-04-09;12.21
156;171;2017-06-26;45
157;172;2018-09-06;45
158;174;1981-03-14;45
159;175;1982-07-17;45
160;176;1983-07-23;45
161;177;1984-06-08;45
162;178;1985-05-26;45
163;179;1986-12-20;45
164;180;1987-06-07;45
165;181;1988-10-24;45
166;182;1989-11-16;45
167;183;1990-12-08;45
168;184;1991-09-11;45
169;185;1992-07-08;45
170;186;1993-06-05;45
171;187;1994-06-13;45
172;188;1995-12-17;45
173;189;1996-10-12;45
174;190;1997-04-19;45
175;191;1998-10-06;45
176;192;1999-04-12;45
177;193;2000-09-27;45
178;194;2001-11-18;45
179;195;2002-09-18;45
180;196;2003-05-09;45
181;197;2004-12-10;45
182;198;2005-11-21;45
183;199;2006-08-12;45
184;200;2007-04-07;45
185;201;2008-05-25;45
186;202;2009-12-22;45
187;203;2010-08-09;12.89
188;204;2011-07-20;45
189;205;2012-11-20;45
190;206;2013-06-21;45
191;207;2014-12-18;92.31
192;208;2015-05-10;45
193;212;2008-05-14;77.87
194;213;2009-05-25;45
195;214;2010-06-15;45
196;215;2011-06-12;4.4
197;216;2012-07-27;45
198;217;2013-05-25;49.13
199;219;2015-09-27;45
200;220;2016-03-21;45
201;221;2017-12-09;45
202;222;2018-09-01;45
203;223;1991-11-18;45
204;224;1992-11-23;45
205;225;1993-10-18;45
206;226;1994-09-11;45
207;227;1995-07-05;45
208;228;1996-10-01;45
209;229;1997-06-14;45
210;230;1998-12-09;45
211;231;1999-08-07;45
212;232;2000-06-11;45
213;233;2001-07-03;45
214;234;2002-12-25;45
215;236;2004-07-28;45
216;237;2005-03-03;45
217;238;2006-04-28;45
218;239;2007-09-20;45
219;240;2008-09-06;45
220;241;2009-04-10;45
221;242;2010-10-27;45
222;243;2011-06-04;45
223;244;2012-04-17;45
224;245;2013-04-08;20.5
225;246;2014-05-27;45
226;247;2015-06-03;45
227;248;2016-06-20;45
228;250;2018-12-03;45
229;251;2013-10-01;45
230;252;2014-09-23;45
231;253;2015-05-25;65.34
232;254;2016-04-03;45
233;255;2017-08-06;45
234;256;2018-10-07;45
235;257;2009-12-18;45
236;258;2010-12-07;45
237;259;2011-08-15;45
238;260;2012-11-05;3.61
239;261;2013-07-15;45
240;262;2014-12-28;45
241;263;2015-07-19;45
242;264;2016-08-01;45
243;265;2017-07-26;45
244;266;1967-03-19;45
245;267;1968-05-13;45
246;268;1969-04-23;45
247;269;1970-09-17;45
248;270;1971-10-18;45
249;271;1972-07-04;45
250;272;1973-07-10;45
251;273;1974-11-11;45
252;274;1975-09-09;45
253;275;1976-10-13;45
254;276;1977-05-09;45
255;277;1978-06-17;45
256;278;1979-05-12;45
257;279;1980-03-08;45
258;280;1981-05-07;45
259;281;1982-03-05;45
260;282;1983-07-21;45
261;283;1984-11-26;45
262;284;1985-12-23;45
263;285;1986-08-19;43.73
264;286;1987-07-09;45
265;287;1988-12-06;45
266;288;1989-11-11;45
267;289;1990-04-07;45
268;290;1991-07-12;45
269;291;1992-11-12;45
270;292;1993-05-11;45
271;293;1994-04-05;45
272;294;1995-06-11;45
273;295;1996-07-16;45
274;296;1997-06-05;72.66
275;297;1998-10-07;45
276;298;1999-04-22;45
277;299;2000-11-17;2.85
278;300;2001-12-03;45
279;301;2002-12-19;73.19
280;302;2003-05-26;45
281;303;2004-05-10;45
282;304;2005-07-18;50.92
283;305;2006-07-03;45
284;306;2007-03-02;45
285;307;2008-12-22;45
286;308;2009-06-07;45
287;309;2010-09-07;45
288;310;2011-05-13;45
289;311;2012-12-22;45
290;312;2013-07-23;45
291;313;2014-11-09;45
292;314;2015-08-10;45
293;315;2016-12-07;45
294;316;2017-10-26;45
295;318;2016-12-02;25
296;319;2017-03-01;25
297;320;2018-06-12;25
298;321;2015-10-10;45
299;322;2016-08-28;45
300;323;2017-12-17;45
301;324;2018-07-27;45
302;326;1994-03-10;45
303;327;1995-03-08;45
304;328;1996-09-12;45
305;329;1997-07-02;45
306;330;1998-12-16;89.48
307;331;1999-08-08;59.47
308;332;2007-05-21;45
309;333;2008-10-15;45
310;334;2009-06-09;45
311;335;2010-03-10;45
312;336;2011-06-20;45
313;337;2012-10-23;45
314;338;2013-12-15;45
315;339;2014-12-15;45
316;340;2015-03-14;45
317;341;2016-06-19;45
318;342;2017-04-25;45
319;344;1961-11-11;45
320;345;1962-07-19;45
321;346;1963-06-03;45
322;347;1964-10-20;45
323;348;1965-08-06;45
324;349;1966-10-19;45
325;350;1967-03-22;45
326;351;1968-11-17;45
327;352;1969-07-27;45
328;353;1970-12-14;45
329;354;1971-07-20;45
330;355;1972-07-26;45
331;356;1973-05-20;45
332;357;1974-03-23;45
333;358;1975-04-15;45
334;359;1976-12-24;45
335;360;1977-09-08;33.16
336;361;1978-12-01;45
337;362;1979-10-17;20.67
338;363;1980-05-28;45
339;364;1981-09-22;45
340;365;1982-09-10;45
341;366;1983-03-04;45
342;367;1984-08-07;45
343;368;1985-06-27;45
344;369;1986-11-12;45
345;370;1987-03-02;45
346;371;1988-11-06;45
347;372;1989-06-16;45
348;373;1990-09-02;45
349;374;1991-07-03;45
350;375;1992-04-18;45
351;376;1993-08-16;45
352;377;1994-09-26;45
353;378;1995-08-03;45
354;379;1996-09-22;45
355;380;1997-12-01;45
356;381;1998-06-05;4.11
357;382;1999-10-23;45
358;383;2000-06-08;45
359;384;2001-09-07;45
360;385;2002-11-27;45
361;386;2003-08-11;45
362;387;2004-10-28;45
363;388;2005-12-20;45
364;389;2006-12-27;45
365;390;2007-06-18;71.02
366;391;2008-09-17;45
367;392;2009-04-14;45
368;393;2010-12-04;45
369;394;2011-06-22;16.66
370;395;2012-03-01;45
371;396;2013-07-27;45
372;397;2014-08-18;45
373;398;2015-08-10;45
374;399;2016-12-12;45
375;401;2018-03-08;45
376;402;1998-03-15;45
377;403;1999-05-03;45
378;404;2000-10-22;45
379;405;2001-11-12;45
380;406;2002-07-03;45
381;407;2003-04-28;45
382;408;2004-09-14;45
383;409;2005-03-23;45
384;410;2006-09-15;45
385;411;2007-12-17;45
386;412;2008-09-01;45
387;413;2009-05-01;45
388;414;2010-04-25;45
389;415;2011-12-13;45
390;416;2012-11-27;45
391;417;2013-04-27;45
392;418;2014-06-18;45
393;419;2015-10-01;48.28
394;420;2016-12-15;20
395;421;2017-11-10;20
396;422;1998-07-13;45
397;423;1999-06-14;83.1
398;424;2000-09-23;45
399;425;2001-09-27;33.19
400;426;2002-12-28;45
401;427;2003-04-04;45
402;428;2004-09-02;45
403;429;2005-03-08;45
404;430;2013-03-15;45
405;431;2014-06-01;45
406;432;2015-12-23;45
407;434;2017-09-09;45
408;436;2015-05-02;45
409;437;1993-11-16;45
410;438;1994-09-22;45
411;439;1995-09-26;45
412;440;1996-11-21;45
413;441;1997-11-18;2.14
414;442;1998-07-20;5.58
415;443;1999-05-22;45
416;444;2000-06-22;45
417;445;2001-06-27;39.77
418;446;2002-09-28;45
419;447;2003-05-15;45
420;448;2004-04-20;45
421;449;2005-12-21;45
422;451;2007-05-09;45
423;452;2008-04-07;45
424;453;2009-05-18;45
425;454;2010-12-27;67.66
426;455;1993-09-09;45
427;456;1994-12-09;45
428;457;1995-10-26;45
429;458;1995-10-07;45
430;459;1996-08-04;45
431;460;1997-05-07;45
432;461;1998-10-15;45
433;462;1999-10-09;45
434;463;2000-08-19;45
435;464;2001-04-18;45
436;465;2002-07-17;45
437;466;2003-06-12;45
438;467;2004-03-17;45
439;468;2005-10-05;45
440;469;2006-12-27;45
441;470;2007-07-18;89.26
442;471;2008-05-22;45
443;472;2009-10-07;45
444;473;2010-08-24;45
445;474;2011-10-13;45
446;475;2012-05-03;45
447;476;2013-10-26;20.11
448;477;2014-05-26;45
449;478;2015-11-27;45
450;479;2016-08-25;45
451;480;2017-09-06;45
452;482;2009-12-14;45
453;483;2010-05-05;45
454;484;2011-03-16;45
455;485;2012-10-06;45
456;486;2013-05-26;45
457;487;2014-12-08;45
458;488;2015-04-10;45
459;489;2016-06-19;45
460;491;2018-05-09;45
461;492;1996-09-13;45
462;493;1997-04-10;45
463;494;1998-07-12;45
464;495;1999-08-09;45
465;496;2000-05-27;45
466;497;2001-06-06;45
467;498;2002-06-20;45
468;499;2003-08-20;7.48
469;500;2004-08-08;45
470;501;2005-10-22;45
471;502;2006-05-16;45
472;503;2007-05-06;45
473;504;2008-11-27;34.72
474;505;2009-03-11;45
475;506;2010-08-08;45
476;507;2011-11-26;45
477;508;2012-04-15;45
478;509;2013-09-12;45
479;510;2014-04-05;45
480;512;2016-06-16;45
481;513;2017-11-09;45
482;514;2018-12-27;45
483;515;2014-10-14;20
484;516;2015-11-15;20
485;517;2016-10-19;20
486;518;2017-11-26;20
487;519;2018-09-27;20
488;520;2013-12-16;45
489;521;2014-09-17;45
490;522;2015-08-08;45
491;523;2016-11-15;45
492;524;2017-10-10;45
493;525;2018-04-26;45
494;526;1979-11-15;45
495;527;1980-03-02;45
496;528;1981-07-24;45
497;529;1982-06-17;45
498;530;1983-09-07;45
499;531;1984-05-02;45
500;532;1985-11-09;45
501;533;1986-07-03;45
502;534;1987-09-20;45
503;535;1988-08-07;45
504;536;1989-08-17;45
505;537;1990-04-25;45
506;538;1991-05-25;45
507;539;1992-11-21;45
508;540;1993-10-13;45
509;541;1994-08-11;45
510;542;1995-04-25;45
511;543;1996-05-23;45
512;544;1997-08-23;45
513;545;1998-07-04;45
514;546;1999-10-12;18.05
515;547;2000-09-28;45
516;548;2001-09-09;1.52
517;549;2002-09-25;45
518;550;2003-08-22;34.64
519;551;2004-06-04;45
520;552;2005-10-19;45
521;553;2006-07-23;45
522;554;2007-09-03;36.81
523;555;2008-04-25;45
524;556;2009-04-04;45
525;557;2010-03-21;45
526;558;2011-04-11;45
527;559;2012-03-05;45
528;560;2013-06-06;45
529;561;2014-07-10;45
530;562;2015-09-11;45
531;563;2016-09-13;45
532;565;2018-11-07;45
533;567;2018-06-20;15
534;568;1996-08-15;0
535;569;1997-05-10;0
536;570;1998-12-08;0
537;571;1999-03-21;0
538;572;2000-09-14;0
539;573;2001-05-07;0
540;574;2002-07-07;80.34
541;575;2003-06-03;0
542;576;2004-03-01;0
543;577;2005-04-13;0
544;578;2006-07-11;0
545;579;2007-04-23;0
546;580;2008-10-27;0
547;581;2009-12-11;44.33
548;582;2010-10-11;0
549;583;2011-03-27;83.72
550;584;2012-12-21;0
551;585;2013-11-24;0
552;586;2014-09-19;0
553;587;2015-06-04;0
554;588;2016-11-23;0
555;589;2017-11-20;0
556;590;2018-08-22;0
557;591;2005-06-27;75.67
558;592;2006-12-15;45
559;593;2007-03-01;45
560;594;2008-10-15;45
561;595;2009-08-12;45
562;596;2010-05-02;45
563;597;2011-06-26;45
564;598;2012-10-01;45
565;599;2013-12-20;45
566;600;2014-08-14;45
567;601;2015-05-02;45
568;602;2016-12-26;27.78
569;603;2017-08-10;45
570;604;2007-08-21;45
571;605;2008-04-01;45
572;606;2009-07-25;45
573;607;2010-10-13;45
574;608;2011-06-28;45
575;610;2013-10-01;45
576;612;2015-11-21;45
577;614;2017-07-02;45
578;615;2018-12-12;6.56
579;617;2014-06-23;37.88
580;618;2015-10-23;20
581;619;2016-11-21;20
582;620;2017-03-28;20
583;621;2018-10-01;20
584;622;2010-05-11;45
585;623;2011-10-27;45
586;624;2012-12-23;45
587;626;2014-04-12;45
588;627;2015-10-28;45
589;628;2016-07-22;45
590;629;2017-05-25;63.17
591;630;2018-04-19;45
592;631;1998-05-23;45
593;632;1999-05-01;45
594;633;2000-10-02;45
595;634;2001-05-14;45
596;635;2002-12-17;45
597;636;2003-11-20;45
598;637;2004-09-19;45
599;638;2005-07-04;45
600;639;2006-05-06;45
601;640;2007-07-15;50.78
602;641;2008-06-12;45
603;642;2009-10-24;45
604;643;2010-07-02;45
605;644;2011-09-20;45
606;645;2012-05-18;45
607;646;2013-09-25;45
608;647;2014-06-21;45
609;648;2015-09-03;45
610;652;2013-03-27;45
611;653;2014-11-08;45
612;654;1973-04-18;45
613;655;1974-07-24;45
614;656;1975-09-18;45
615;657;1976-12-19;45
616;658;1977-11-19;45
617;659;1978-12-23;45
618;660;1979-06-07;45
619;661;1980-11-27;45
620;662;1981-08-27;45
621;663;1982-06-17;45
622;664;1983-03-02;45
623;665;1984-04-19;45
624;666;1985-04-13;52.08
625;667;1986-04-05;45
626;668;1987-08-06;45
627;669;1988-03-23;45
628;670;1989-10-02;45
629;671;1990-10-05;45
630;672;1991-05-16;45
631;673;1992-04-02;45
632;674;1993-07-12;45
633;675;1994-11-25;45
634;676;1995-10-27;45
635;677;1996-05-28;45
636;678;1997-12-27;45
637;679;1998-03-24;45
638;680;1999-03-24;45
639;681;2000-06-12;45
640;682;2001-07-17;89.01
641;683;2002-09-11;45
642;684;2003-12-20;45
643;685;2004-10-04;45
644;686;2005-04-14;78.34
645;687;2006-11-11;45
646;688;2007-12-08;45
647;689;2008-05-24;45
648;690;2009-08-09;45
649;691;2010-06-23;45
650;692;2011-09-10;45
651;693;2012-07-01;45
652;695;2014-10-03;45
653;696;2015-09-20;45
654;697;2016-12-22;45
655;698;2017-03-14;45
656;700;2014-11-02;45
657;701;2015-06-22;45
658;702;2016-11-20;45
659;703;2017-07-14;45
660;704;2018-03-26;45
661;705;2006-10-17;25
662;706;2007-03-04;25
663;708;2009-08-07;25
664;709;2010-10-03;62.54
665;710;2011-12-07;25
666;711;2012-06-02;25
667;712;2013-04-07;25
668;713;2014-08-10;25
669;714;2015-11-28;25
670;716;2017-04-03;25
671;720;2012-05-07;45
672;724;2016-08-10;45
673;725;2017-09-17;45
674;726;2018-09-05;45
675;727;2013-06-22;45
676;728;2014-09-03;45
677;729;2015-09-23;45
678;730;1991-09-24;3.67
679;731;1992-10-19;45
680;732;1993-05-28;45
681;733;1994-04-01;45
682;734;1995-10-27;45
683;735;1996-07-28;9.52
684;736;1997-11-19;45
685;737;1998-06-02;45
686;738;1999-05-12;45
687;739;2000-03-24;45
688;740;2001-08-10;73.87
689;742;2003-12-28;45
690;743;2004-08-27;45
691;744;2005-09-04;45
692;745;2006-08-16;45
693;746;2007-03-11;90.88
694;747;2008-07-13;45
695;748;2009-07-28;69.4
696;749;2010-10-26;22.67
697;751;2012-09-28;45
698;752;2013-07-07;45
699;753;2014-09-07;45
700;754;2015-11-21;45.36
701;755;2016-04-25;45
702;757;2018-08-10;45
703;758;2010-12-08;58.59
704;759;2011-07-20;45
705;760;2012-03-26;45
706;761;2013-12-06;85.1
707;762;2014-10-03;45
708;763;2015-12-07;45
709;764;2016-04-18;45
710;765;2017-09-22;45
711;766;2018-11-08;65.4
712;767;2001-08-15;45
713;768;2002-03-28;45
714;769;2003-03-17;45
715;770;2004-09-18;45
716;771;2005-08-14;45
717;772;2006-05-17;45
718;773;2007-06-13;29.09
719;774;2008-09-21;45
720;775;2009-03-07;45
721;776;2010-06-01;45
722;777;2011-04-07;45
723;778;2012-12-04;45
724;779;2013-06-22;45
725;780;2014-03-17;45
726;781;2015-08-19;45
727;782;2016-03-12;45
728;783;2017-05-21;45
729;784;2018-08-19;45
730;785;2012-10-17;20
731;786;2013-06-13;20
732;787;2014-03-06;20
733;788;2015-07-05;14.29
734;789;2016-10-05;20
735;791;2018-08-02;20
736;792;2016-12-20;45
737;793;2017-10-06;45
738;794;2018-12-24;45
739;796;2018-07-19;20
740;797;1987-09-20;25
741;798;1988-08-23;25
742;799;1989-11-19;60.66
743;800;1990-12-20;25
744;801;1991-12-11;25
745;802;1992-03-21;25
746;803;1993-07-03;25
747;804;1994-10-22;25
748;805;1995-12-04;63.12
749;806;1996-03-06;25
750;807;1997-06-14;25
751;808;1998-05-10;25
752;809;1999-06-21;45
753;810;2000-08-10;45
754;811;2001-06-02;45
755;812;2002-03-25;45
756;813;2003-08-24;45
757;814;2004-08-20;45
758;815;2000-06-15;45
759;816;2001-11-06;45
760;817;2002-12-27;45
761;818;2003-03-23;45
762;819;2004-08-01;45
763;820;2005-04-04;45
764;821;2006-04-27;45
765;822;2007-07-06;45
766;823;2008-08-02;45
767;824;2009-05-12;45
768;826;2011-05-27;45
769;827;2012-07-05;45
770;828;2013-04-27;45
771;829;2014-10-17;45
772;830;2015-04-06;17.08
773;831;2016-03-09;45
774;833;2018-11-13;45
775;834;2010-03-03;20
776;835;2011-12-13;20
777;836;2012-08-26;20
778;837;2013-07-09;20
779;838;2014-12-23;20
780;839;2015-12-01;20
781;840;2016-05-26;20
782;841;2017-09-10;20
783;842;2018-03-06;20
784;843;2017-08-06;45
785;845;2001-11-20;0
786;846;2002-09-02;0
787;847;2003-03-21;0
788;848;2004-09-23;0
789;849;2005-03-18;0
790;850;2006-03-18;0
791;851;2007-10-19;22.36
792;852;2008-06-03;0
793;853;2009-09-28;0
794;854;2010-03-15;0
795;855;2011-06-19;0
796;856;2012-06-08;0
797;857;2013-11-27;0
798;858;2014-03-08;0
799;859;2015-12-04;0
800;860;2016-03-27;0
801;861;2017-11-28;0
802;862;2018-12-03;15.27
803;863;2014-07-15;62.49
804;864;2015-07-01;45
805;865;2016-05-19;45
806;866;2017-11-06;45
807;868;1976-04-04;45
808;869;1977-08-21;45
809;870;1978-03-06;45
810;871;1979-06-07;45
811;872;1980-10-04;45
812;873;1981-05-20;45
813;875;1983-09-14;45
814;876;1984-11-04;45
815;878;1986-09-19;45
816;879;1987-10-01;45
817;880;1988-06-25;45
818;881;1989-03-14;45
819;882;1990-07-04;45
820;883;1991-03-06;45
821;884;1992-09-19;45
822;885;1993-03-09;81.01
823;886;1994-08-14;45
824;887;1995-09-16;45
825;888;1996-07-07;45
826;889;1997-06-28;45
827;890;1998-10-16;45
828;891;1999-10-21;45
829;892;2000-06-17;45
830;893;2001-08-23;45
831;894;2002-11-23;45
832;895;2003-06-26;45
833;896;2004-08-19;82.06
834;897;2005-09-01;45
835;898;2006-10-05;45
836;899;2007-05-28;45
837;900;2008-08-15;45
838;901;2009-07-14;69.94
839;902;2010-11-19;45
840;903;2011-03-21;45
841;904;2012-07-20;45
842;905;2013-06-19;45
843;906;2014-11-14;45
844;908;2016-05-12;45
845;909;2017-09-19;45
846;910;2018-08-26;45
847;911;1988-08-27;45
848;912;1989-04-04;45
849;913;1990-11-17;45
850;914;1991-09-08;45
851;915;1992-04-28;45
852;916;1993-11-07;45
853;917;1994-06-09;45
854;918;1995-08-23;45
855;919;1996-06-16;45
856;920;1997-05-13;45
857;921;1998-10-22;45
858;922;1999-11-13;43.73
859;923;2000-06-06;45
860;924;2001-12-28;45
861;925;2002-12-28;45
862;926;2003-07-16;45
863;927;2004-06-09;45
864;928;2005-12-20;67.46
865;929;2006-10-06;45
866;930;2007-06-26;45
867;931;2008-03-14;45
868;932;2009-03-06;29.72
869;933;2010-10-15;45
870;934;2011-06-14;5.78
871;935;2012-07-21;45
872;936;2013-07-17;45
873;938;2015-08-25;45
874;939;2016-07-14;45
875;940;2017-11-07;77.05
876;942;1998-12-20;45
877;943;1999-09-05;45
878;944;2000-11-03;45
879;945;2001-06-21;45
880;946;2002-03-13;45
881;947;2003-11-08;45
882;948;2004-06-17;45
883;949;2005-08-14;45
884;950;2006-07-25;45
885;951;1994-11-21;3.87
886;952;1995-12-11;45
887;953;1996-04-21;45
888;954;1997-11-10;45
889;955;1998-08-17;45
890;956;1999-06-16;45
891;957;2000-07-22;45
892;958;2001-06-23;45
893;959;2002-06-26;45
894;960;2003-04-24;45
895;961;2004-11-24;45
896;963;2006-12-03;45
897;964;2007-05-25;45
898;965;2008-07-10;45
899;966;2009-12-13;45
900;967;2010-09-17;45
901;969;2012-06-24;45
902;970;2013-08-16;14.32
903;973;2016-11-07;10.86
904;974;2017-05-28;45
905;976;2014-11-13;45
906;977;2015-11-22;45
907;980;2018-09-19;45
908;981;2010-07-20;0
909;983;2012-04-26;0
910;985;2014-07-22;0
911;986;2015-08-09;0
912;987;2016-10-23;0
913;989;2018-12-03;0
914;990;2013-04-28;20
915;991;2014-04-16;20
916;992;2015-09-15;20
917;993;2016-05-25;20
918;994;2017-07-03;20
919;996;1977-05-04;45
920;997;1978-04-25;45
921;998;1979-07-09;45
922;999;1980-09-13;45
923;1000;1981-12-18;45
924;1001;1982-08-19;45
925;1002;1983-06-15;45
926;1003;1984-08-19;45
927;1004;1985-07-10;45
928;1005;1986-07-02;45
929;1006;1987-04-10;45
930;1007;1988-07-15;45
931;1008;1989-09-19;65.94
932;1009;1990-10-09;45
933;1010;1991-05-17;45
934;1011;1992-12-13;45
935;1012;1993-08-19;45
936;1013;1994-12-13;45
937;1014;1995-04-16;45
938;1015;1996-07-18;45
939;1016;1997-07-24;45
940;1017;1998-05-21;45
941;1018;1999-03-22;45
942;1019;2000-03-02;45
943;1021;2002-08-10;45
944;1023;2004-07-01;45
945;1024;2005-12-01;45
946;1025;2006-03-05;45
947;1026;2007-07-20;45
948;1027;2008-03-18;45
949;1028;2009-09-17;45
950;1029;2010-08-27;45
951;1030;2011-03-20;45
952;1031;2012-12-06;45
953;1032;2013-06-25;45
954;1033;2014-04-27;45
955;1034;2015-08-02;45
956;1035;2016-08-16;45
957;1037;2018-11-10;58.63
958;1038;1983-08-26;0
959;1039;1984-08-19;0
960;1040;1985-12-17;0
961;1041;1986-05-28;0
962;1042;1987-12-23;0
963;1043;1988-08-09;0
964;1044;1992-12-19;45
965;1045;1993-10-05;45
966;1046;1994-08-28;45
967;1047;1995-03-19;45
968;1048;1996-09-13;45
969;1049;1997-10-09;45
970;1050;1998-11-14;45
971;1051;1999-06-20;45
972;1052;2000-06-05;45
973;1053;2001-06-05;45
974;1054;2002-03-11;45
975;1055;2003-03-16;45
976;1056;2004-11-07;18.81
977;1057;2005-08-09;45
978;1058;2006-10-07;57.59
979;1059;2007-09-19;45
980;1060;2008-08-15;45
981;1062;2010-06-21;45
982;1064;2012-06-26;45
983;1065;2013-06-12;45
984;1066;2014-04-08;45
985;1067;2015-10-25;45
986;1068;2016-12-21;45
987;1069;2017-04-01;45
988;1071;2014-11-03;45
989;1072;2015-09-21;45
990;1073;2016-05-16;58.63
991;1074;2017-05-12;45
992;1077;2013-12-23;45
993;1078;2014-09-05;45
994;1079;2015-12-27;45
995;1080;2016-08-25;45
996;1082;2018-05-15;45
997;1083;1996-12-04;45
998;1084;1997-07-22;45
999;1085;1998-06-21;45
1000;1086;1999-10-17;45
1001;1087;2000-04-25;45
1002;1088;2001-10-23;41.97
1003;1089;2002-08-05;45
1004;1090;2003-09-25;45
1005;1091;2004-07-21;45
1006;1092;2005-03-24;45
1007;1093;2006-03-28;45
1008;1094;2007-09-02;45
1009;1095;2008-12-25;45
1010;1096;2009-09-06;45
1011;1097;2010-05-20;45
1012;1098;2011-12-02;45
1013;1099;2012-07-04;45
1014;1100;2013-07-03;45
1015;1101;2014-11-19;45
1016;1103;2016-03-21;45
1017;1106;2015-11-15;45
1018;1107;2016-09-27;45
1019;1111;2015-05-04;15
1020;1112;2016-11-03;15
1021;1113;2017-04-17;78.37
1022;1115;1990-04-11;45
1023;1116;1991-05-15;45
1024;1117;1992-07-21;45
1025;1118;1993-06-10;45
1026;1119;1994-05-15;45
1027;1120;1995-11-16;45
1028;1121;1996-03-27;45
1029;1122;1997-04-05;45
1030;1123;1998-11-15;45
1031;1124;1999-06-13;45
1032;1125;2000-11-15;45
1033;1126;2001-05-18;45
1034;1127;2002-05-07;45
1035;1128;2003-09-21;45
1036;1129;2004-11-02;45
1037;1130;2005-06-26;45
1038;1131;2006-06-11;45
1039;1132;2007-12-07;45
1040;1133;2008-11-28;45
1041;1134;2009-06-20;45
1042;1135;2010-07-11;45
1043;1136;2011-09-22;87.32
1044;1137;2012-09-04;45
1045;1138;2013-08-18;45
