id;membership_id;invoice_date;amount_due
88;11;1986-03-01;45
89;11;1987-03-01;45
90;11;1988-03-01;45
91;11;1989-03-01;45
92;11;1990-03-01;45
93;11;1991-03-01;45
94;11;1992-03-01;45
95;11;1993-03-01;45
96;11;1994-03-01;45
97;11;1995-03-01;45
98;11;1996-03-01;45
99;11;1997-03-01;45
100;11;1998-03-01;45
101;11;1999-03-01;45
102;11;2000-03-01;45
103;11;2001-03-01;45
104;11;2002-03-01;45
105;11;2003-03-01;45
106;11;2004-03-01;45
107;11;2005-03-01;45
108;11;2006-03-01;45
109;11;2007-03-01;45
110;11;2008-03-01;45
111;11;2009-03-01;45
112;11;2010-03-01;45
113;11;2011-03-01;45
114;11;2012-03-01;45
115;11;2013-03-01;45
116;11;2014-03-01;45
117;11;2015-03-01;45
118;11;2016-03-01;45
119;11;2017-03-01;45
120;11;2018-03-01;45
121;12;2004-03-01;20
122;12;2005-03-01;20
123;12;2006-03-01;20
124;12;2007-03-01;20
125;12;2008-03-01;20
126;12;2009-03-01;20
127;12;2010-03-01;20
128;12;2011-03-01;20
129;12;2012-03-01;20
130;12;2013-03-01;20
131;12;2014-03-01;20
132;12;2015-03-01;20
133;12;2016-03-01;20
134;12;2017-03-01;20
135;12;2018-03-01;20
136;13;2018-03-01;45
137;14;2010-03-01;45
138;14;2011-03-01;45
139;14;2012-03-01;45
140;14;2013-03-01;45
141;15;2015-03-01;45
142;15;2016-03-01;45
143;15;2017-03-01;45
144;15;2018-03-01;45
145;16;1995-03-01;45
146;16;1996-03-01;45
147;16;1997-03-01;45
148;16;1998-03-01;45
149;16;1999-03-01;45
150;16;2000-03-01;45
151;16;2001-03-01;45
152;16;2002-03-01;45
153;16;2003-03-01;45
154;16;2004-03-01;45
155;16;2005-03-01;45
156;16;2006-03-01;45
157;16;2007-03-01;45
158;16;2008-03-01;45
159;16;2009-03-01;45
160;16;2010-03-01;45
161;16;2011-03-01;45
162;16;2012-03-01;45
163;16;2013-03-01;45
164;16;2014-03-01;45
165;16;2015-03-01;45
166;16;2016-03-01;45
167;16;2017-03-01;45
168;16;2018-03-01;45
169;17;2015-03-01;45
170;17;2016-03-01;45
171;17;2017-03-01;45
172;17;2018-03-01;45
173;18;2018-03-01;15
174;19;1981-03-01;45
175;19;1982-03-01;45
176;19;1983-03-01;45
177;19;1984-03-01;45
178;19;1985-03-01;45
179;19;1986-03-01;45
180;19;1987-03-01;45
181;19;1988-03-01;45
182;19;1989-03-01;45
183;19;1990-03-01;45
184;19;1991-03-01;45
185;19;1992-03-01;45
186;19;1993-03-01;45
187;19;1994-03-01;45
188;19;1995-03-01;45
189;19;1996-03-01;45
190;19;1997-03-01;45
191;19;1998-03-01;45
192;19;1999-03-01;45
193;19;2000-03-01;45
194;19;2001-03-01;45
195;19;2002-03-01;45
196;19;2003-03-01;45
197;19;2004-03-01;45
198;19;2005-03-01;45
199;19;2006-03-01;45
200;19;2007-03-01;45
201;19;2008-03-01;45
202;19;2009-03-01;45
203;19;2010-03-01;45
204;19;2011-03-01;45
205;19;2012-03-01;45
206;19;2013-03-01;45
207;19;2014-03-01;45
208;19;2015-03-01;45
209;19;2016-03-01;45
210;19;2017-03-01;45
211;19;2018-03-01;45
212;20;2008-03-01;45
213;20;2009-03-01;45
214;20;2010-03-01;45
215;20;2011-03-01;45
216;20;2012-03-01;45
217;20;2013-03-01;45
218;20;2014-03-01;45
219;20;2015-03-01;45
220;20;2016-03-01;45
221;20;2017-03-01;45
222;20;2018-03-01;45
223;21;1991-03-01;45
224;21;1992-03-01;45
225;21;1993-03-01;45
226;21;1994-03-01;45
227;21;1995-03-01;45
228;21;1996-03-01;45
229;21;1997-03-01;45
230;21;1998-03-01;45
231;21;1999-03-01;45
232;21;2000-03-01;45
233;21;2001-03-01;45
234;21;2002-03-01;45
235;21;2003-03-01;45
236;21;2004-03-01;45
237;21;2005-03-01;45
238;21;2006-03-01;45
239;21;2007-03-01;45
240;21;2008-03-01;45
241;21;2009-03-01;45
242;21;2010-03-01;45
243;21;2011-03-01;45
244;21;2012-03-01;45
245;21;2013-03-01;45
246;21;2014-03-01;45
247;21;2015-03-01;45
248;21;2016-03-01;45
249;21;2017-03-01;45
250;21;2018-03-01;45
251;22;2013-03-01;45
252;22;2014-03-01;45
253;22;2015-03-01;45
254;22;2016-03-01;45
255;22;2017-03-01;45
256;22;2018-03-01;45
257;23;2009-03-01;45
258;23;2010-03-01;45
259;23;2011-03-01;45
260;23;2012-03-01;45
261;23;2013-03-01;45
262;23;2014-03-01;45
263;23;2015-03-01;45
264;23;2016-03-01;45
265;23;2017-03-01;45
266;24;1967-03-01;45
267;24;1968-03-01;45
268;24;1969-03-01;45
269;24;1970-03-01;45
270;24;1971-03-01;45
271;24;1972-03-01;45
272;24;1973-03-01;45
273;24;1974-03-01;45
274;24;1975-03-01;45
275;24;1976-03-01;45
276;24;1977-03-01;45
277;24;1978-03-01;45
278;24;1979-03-01;45
279;24;1980-03-01;45
280;24;1981-03-01;45
281;24;1982-03-01;45
282;24;1983-03-01;45
283;24;1984-03-01;45
284;24;1985-03-01;45
285;24;1986-03-01;45
286;24;1987-03-01;45
287;24;1988-03-01;45
288;24;1989-03-01;45
289;24;1990-03-01;45
290;24;1991-03-01;45
291;24;1992-03-01;45
292;24;1993-03-01;45
293;24;1994-03-01;45
294;24;1995-03-01;45
295;24;1996-03-01;45
296;24;1997-03-01;45
297;24;1998-03-01;45
298;24;1999-03-01;45
299;24;2000-03-01;45
300;24;2001-03-01;45
301;24;2002-03-01;45
302;24;2003-03-01;45
303;24;2004-03-01;45
304;24;2005-03-01;45
305;24;2006-03-01;45
306;24;2007-03-01;45
307;24;2008-03-01;45
308;24;2009-03-01;45
309;24;2010-03-01;45
310;24;2011-03-01;45
311;24;2012-03-01;45
312;24;2013-03-01;45
313;24;2014-03-01;45
314;24;2015-03-01;45
315;24;2016-03-01;45
316;24;2017-03-01;45
317;24;2018-03-01;45
318;25;2016-03-01;25
319;25;2017-03-01;25
320;25;2018-03-01;25
321;26;2015-03-01;45
322;26;2016-03-01;45
323;26;2017-03-01;45
324;26;2018-03-01;45
325;27;1993-03-01;45
326;27;1994-03-01;45
327;27;1995-03-01;45
328;27;1996-03-01;45
329;27;1997-03-01;45
330;27;1998-03-01;45
331;27;1999-03-01;45
332;28;2007-03-01;45
333;28;2008-03-01;45
334;28;2009-03-01;45
335;28;2010-03-01;45
336;28;2011-03-01;45
337;28;2012-03-01;45
338;28;2013-03-01;45
339;28;2014-03-01;45
340;28;2015-03-01;45
341;28;2016-03-01;45
342;28;2017-03-01;45
343;28;2018-03-01;45
344;29;1961-03-01;45
345;29;1962-03-01;45
346;29;1963-03-01;45
347;29;1964-03-01;45
348;29;1965-03-01;45
349;29;1966-03-01;45
350;29;1967-03-01;45
351;29;1968-03-01;45
352;29;1969-03-01;45
353;29;1970-03-01;45
354;29;1971-03-01;45
355;29;1972-03-01;45
356;29;1973-03-01;45
357;29;1974-03-01;45
358;29;1975-03-01;45
359;29;1976-03-01;45
360;29;1977-03-01;45
361;29;1978-03-01;45
362;29;1979-03-01;45
363;29;1980-03-01;45
364;29;1981-03-01;45
365;29;1982-03-01;45
366;29;1983-03-01;45
367;29;1984-03-01;45
368;29;1985-03-01;45
369;29;1986-03-01;45
370;29;1987-03-01;45
371;29;1988-03-01;45
372;29;1989-03-01;45
373;29;1990-03-01;45
374;29;1991-03-01;45
375;29;1992-03-01;45
376;29;1993-03-01;45
377;29;1994-03-01;45
378;29;1995-03-01;45
379;29;1996-03-01;45
380;29;1997-03-01;45
381;29;1998-03-01;45
382;29;1999-03-01;45
383;29;2000-03-01;45
384;29;2001-03-01;45
385;29;2002-03-01;45
386;29;2003-03-01;45
387;29;2004-03-01;45
388;29;2005-03-01;45
389;29;2006-03-01;45
390;29;2007-03-01;45
391;29;2008-03-01;45
392;29;2009-03-01;45
393;29;2010-03-01;45
394;29;2011-03-01;45
395;29;2012-03-01;45
396;29;2013-03-01;45
397;29;2014-03-01;45
398;29;2015-03-01;45
399;29;2016-03-01;45
400;29;2017-03-01;45
401;29;2018-03-01;45
402;30;1998-03-01;45
403;30;1999-03-01;45
404;30;2000-03-01;45
405;30;2001-03-01;45
406;30;2002-03-01;45
407;30;2003-03-01;45
408;30;2004-03-01;45
409;30;2005-03-01;45
410;30;2006-03-01;45
411;30;2007-03-01;45
412;30;2008-03-01;45
413;30;2009-03-01;45
414;30;2010-03-01;45
415;30;2011-03-01;45
416;30;2012-03-01;45
417;30;2013-03-01;45
418;30;2014-03-01;45
419;31;2015-03-01;20
420;31;2016-03-01;20
421;31;2017-03-01;20
422;32;1998-03-01;45
423;32;1999-03-01;45
424;32;2000-03-01;45
425;32;2001-03-01;45
426;32;2002-03-01;45
427;32;2003-03-01;45
428;32;2004-03-01;45
429;32;2005-03-01;45
430;33;2013-03-01;45
431;33;2014-03-01;45
432;33;2015-03-01;45
433;33;2016-03-01;45
434;33;2017-03-01;45
435;33;2018-03-01;45
436;34;2015-03-01;45
437;35;1993-03-01;45
438;35;1994-03-01;45
439;35;1995-03-01;45
440;35;1996-03-01;45
441;35;1997-03-01;45
442;35;1998-03-01;45
443;35;1999-03-01;45
444;35;2000-03-01;45
445;35;2001-03-01;45
446;35;2002-03-01;45
447;35;2003-03-01;45
448;35;2004-03-01;45
449;35;2005-03-01;45
450;35;2006-03-01;45
451;35;2007-03-01;45
452;35;2008-03-01;45
453;35;2009-03-01;45
454;35;2010-03-01;45
455;36;1993-03-01;45
456;36;1994-03-01;45
457;36;1995-03-01;45
458;37;1995-03-01;45
459;37;1996-03-01;45
460;37;1997-03-01;45
461;37;1998-03-01;45
462;37;1999-03-01;45
463;37;2000-03-01;45
464;37;2001-03-01;45
465;37;2002-03-01;45
466;37;2003-03-01;45
467;37;2004-03-01;45
468;37;2005-03-01;45
469;37;2006-03-01;45
470;37;2007-03-01;45
471;37;2008-03-01;45
472;37;2009-03-01;45
473;37;2010-03-01;45
474;37;2011-03-01;45
475;37;2012-03-01;45
476;37;2013-03-01;45
477;37;2014-03-01;45
478;37;2015-03-01;45
479;37;2016-03-01;45
480;37;2017-03-01;45
481;37;2018-03-01;45
482;38;2009-03-01;45
483;38;2010-03-01;45
484;38;2011-03-01;45
485;38;2012-03-01;45
486;38;2013-03-01;45
487;38;2014-03-01;45
488;38;2015-03-01;45
489;38;2016-03-01;45
490;38;2017-03-01;45
491;38;2018-03-01;45
492;39;1996-03-01;45
493;39;1997-03-01;45
494;39;1998-03-01;45
495;39;1999-03-01;45
496;39;2000-03-01;45
497;39;2001-03-01;45
498;39;2002-03-01;45
499;39;2003-03-01;45
500;39;2004-03-01;45
501;39;2005-03-01;45
502;39;2006-03-01;45
503;39;2007-03-01;45
504;39;2008-03-01;45
505;39;2009-03-01;45
506;39;2010-03-01;45
507;39;2011-03-01;45
508;39;2012-03-01;45
509;39;2013-03-01;45
510;39;2014-03-01;45
511;39;2015-03-01;45
512;39;2016-03-01;45
513;39;2017-03-01;45
514;39;2018-03-01;45
515;40;2014-03-01;20
516;40;2015-03-01;20
517;40;2016-03-01;20
518;40;2017-03-01;20
519;40;2018-03-01;20
520;41;2013-03-01;45
521;41;2014-03-01;45
522;41;2015-03-01;45
523;41;2016-03-01;45
524;41;2017-03-01;45
525;41;2018-03-01;45
526;42;1979-03-01;45
527;42;1980-03-01;45
528;42;1981-03-01;45
529;42;1982-03-01;45
530;42;1983-03-01;45
531;42;1984-03-01;45
532;42;1985-03-01;45
533;42;1986-03-01;45
534;42;1987-03-01;45
535;42;1988-03-01;45
536;42;1989-03-01;45
537;42;1990-03-01;45
538;42;1991-03-01;45
539;42;1992-03-01;45
540;42;1993-03-01;45
541;42;1994-03-01;45
542;42;1995-03-01;45
543;42;1996-03-01;45
544;42;1997-03-01;45
545;42;1998-03-01;45
546;42;1999-03-01;45
547;42;2000-03-01;45
548;42;2001-03-01;45
549;42;2002-03-01;45
550;42;2003-03-01;45
551;42;2004-03-01;45
552;42;2005-03-01;45
553;42;2006-03-01;45
554;42;2007-03-01;45
555;42;2008-03-01;45
556;42;2009-03-01;45
557;42;2010-03-01;45
558;42;2011-03-01;45
559;42;2012-03-01;45
560;42;2013-03-01;45
561;42;2014-03-01;45
562;42;2015-03-01;45
563;42;2016-03-01;45
564;42;2017-03-01;45
565;42;2018-03-01;45
566;43;2017-03-01;15
567;43;2018-03-01;15
568;45;1996-03-01;0
569;45;1997-03-01;0
570;45;1998-03-01;0
571;45;1999-03-01;0
572;45;2000-03-01;0
573;45;2001-03-01;0
574;45;2002-03-01;0
575;45;2003-03-01;0
576;45;2004-03-01;0
577;45;2005-03-01;0
578;45;2006-03-01;0
579;45;2007-03-01;0
580;45;2008-03-01;0
581;45;2009-03-01;0
582;45;2010-03-01;0
583;45;2011-03-01;0
584;45;2012-03-01;0
585;45;2013-03-01;0
586;45;2014-03-01;0
587;45;2015-03-01;0
588;45;2016-03-01;0
589;45;2017-03-01;0
590;45;2018-03-01;0
591;47;2005-03-01;45
592;47;2006-03-01;45
593;47;2007-03-01;45
594;47;2008-03-01;45
595;47;2009-03-01;45
596;47;2010-03-01;45
597;47;2011-03-01;45
598;47;2012-03-01;45
599;47;2013-03-01;45
600;47;2014-03-01;45
601;47;2015-03-01;45
602;47;2016-03-01;45
603;47;2017-03-01;45
604;49;2007-03-01;45
605;49;2008-03-01;45
606;49;2009-03-01;45
607;49;2010-03-01;45
608;49;2011-03-01;45
609;49;2012-03-01;45
610;49;2013-03-01;45
611;49;2014-03-01;45
612;49;2015-03-01;45
613;49;2016-03-01;45
614;49;2017-03-01;45
615;49;2018-03-01;45
616;50;2017-03-01;45
617;51;2014-03-01;20
618;51;2015-03-01;20
619;51;2016-03-01;20
620;51;2017-03-01;20
621;51;2018-03-01;20
622;52;2010-03-01;45
623;52;2011-03-01;45
624;52;2012-03-01;45
625;52;2013-03-01;45
626;52;2014-03-01;45
627;52;2015-03-01;45
628;52;2016-03-01;45
629;52;2017-03-01;45
630;52;2018-03-01;45
631;53;1998-03-01;45
632;53;1999-03-01;45
633;53;2000-03-01;45
634;53;2001-03-01;45
635;53;2002-03-01;45
636;53;2003-03-01;45
637;53;2004-03-01;45
638;53;2005-03-01;45
639;53;2006-03-01;45
640;53;2007-03-01;45
641;53;2008-03-01;45
642;53;2009-03-01;45
643;53;2010-03-01;45
644;53;2011-03-01;45
645;53;2012-03-01;45
646;53;2013-03-01;45
647;53;2014-03-01;45
648;53;2015-03-01;45
649;53;2016-03-01;45
650;53;2017-03-01;45
651;53;2018-03-01;45
652;55;2013-03-01;45
653;55;2014-03-01;45
654;56;1973-03-01;45
655;56;1974-03-01;45
656;56;1975-03-01;45
657;56;1976-03-01;45
658;56;1977-03-01;45
659;56;1978-03-01;45
660;56;1979-03-01;45
661;56;1980-03-01;45
662;56;1981-03-01;45
663;56;1982-03-01;45
664;56;1983-03-01;45
665;56;1984-03-01;45
666;56;1985-03-01;45
667;56;1986-03-01;45
668;56;1987-03-01;45
669;56;1988-03-01;45
670;56;1989-03-01;45
671;56;1990-03-01;45
672;56;1991-03-01;45
673;56;1992-03-01;45
674;56;1993-03-01;45
675;56;1994-03-01;45
676;56;1995-03-01;45
677;56;1996-03-01;45
678;56;1997-03-01;45
679;56;1998-03-01;45
680;56;1999-03-01;45
681;56;2000-03-01;45
682;56;2001-03-01;45
683;56;2002-03-01;45
684;56;2003-03-01;45
685;56;2004-03-01;45
686;56;2005-03-01;45
687;56;2006-03-01;45
688;56;2007-03-01;45
689;56;2008-03-01;45
690;56;2009-03-01;45
691;56;2010-03-01;45
692;56;2011-03-01;45
693;56;2012-03-01;45
694;56;2013-03-01;45
695;56;2014-03-01;45
696;56;2015-03-01;45
697;56;2016-03-01;45
698;56;2017-03-01;45
699;56;2018-03-01;45
700;57;2014-03-01;45
701;57;2015-03-01;45
702;57;2016-03-01;45
703;57;2017-03-01;45
704;57;2018-03-01;45
705;59;2006-03-01;25
706;59;2007-03-01;25
707;59;2008-03-01;25
708;59;2009-03-01;25
709;59;2010-03-01;25
710;59;2011-03-01;25
711;59;2012-03-01;25
712;59;2013-03-01;25
713;59;2014-03-01;25
714;59;2015-03-01;25
715;59;2016-03-01;25
716;59;2017-03-01;25
717;59;2018-03-01;25
718;60;2017-03-01;20
719;60;2018-03-01;20
720;61;2012-03-01;45
721;61;2013-03-01;45
722;61;2014-03-01;45
723;61;2015-03-01;45
724;61;2016-03-01;45
725;61;2017-03-01;45
726;61;2018-03-01;45
727;62;2013-03-01;45
728;62;2014-03-01;45
729;62;2015-03-01;45
730;63;1991-03-01;45
731;63;1992-03-01;45
732;63;1993-03-01;45
733;63;1994-03-01;45
734;63;1995-03-01;45
735;63;1996-03-01;45
736;63;1997-03-01;45
737;63;1998-03-01;45
738;63;1999-03-01;45
739;63;2000-03-01;45
740;63;2001-03-01;45
741;63;2002-03-01;45
742;63;2003-03-01;45
743;63;2004-03-01;45
744;63;2005-03-01;45
745;63;2006-03-01;45
746;63;2007-03-01;45
747;63;2008-03-01;45
748;63;2009-03-01;45
749;63;2010-03-01;45
750;63;2011-03-01;45
751;63;2012-03-01;45
752;63;2013-03-01;45
753;63;2014-03-01;45
754;63;2015-03-01;45
755;63;2016-03-01;45
756;63;2017-03-01;45
757;63;2018-03-01;45
758;65;2010-03-01;45
759;65;2011-03-01;45
760;65;2012-03-01;45
761;65;2013-03-01;45
762;65;2014-03-01;45
763;65;2015-03-01;45
764;65;2016-03-01;45
765;65;2017-03-01;45
766;65;2018-03-01;45
767;66;2001-03-01;45
768;66;2002-03-01;45
769;66;2003-03-01;45
770;66;2004-03-01;45
771;66;2005-03-01;45
772;66;2006-03-01;45
773;66;2007-03-01;45
774;66;2008-03-01;45
775;66;2009-03-01;45
776;66;2010-03-01;45
777;66;2011-03-01;45
778;66;2012-03-01;45
779;66;2013-03-01;45
780;66;2014-03-01;45
781;66;2015-03-01;45
782;66;2016-03-01;45
783;66;2017-03-01;45
784;66;2018-03-01;45
785;67;2012-03-01;20
786;67;2013-03-01;20
787;67;2014-03-01;20
788;67;2015-03-01;20
789;67;2016-03-01;20
790;67;2017-03-01;20
791;67;2018-03-01;20
792;68;2016-03-01;45
793;68;2017-03-01;45
794;68;2018-03-01;45
795;69;2017-03-01;20
796;69;2018-03-01;20
797;70;1987-03-01;25
798;70;1988-03-01;25
799;70;1989-03-01;25
800;70;1990-03-01;25
801;70;1991-03-01;25
802;70;1992-03-01;25
803;70;1993-03-01;25
804;70;1994-03-01;25
805;70;1995-03-01;25
806;70;1996-03-01;25
807;70;1997-03-01;25
808;70;1998-03-01;25
809;71;1999-03-01;45
810;71;2000-03-01;45
811;71;2001-03-01;45
812;71;2002-03-01;45
813;71;2003-03-01;45
814;71;2004-03-01;45
815;72;2000-03-01;45
816;72;2001-03-01;45
817;72;2002-03-01;45
818;72;2003-03-01;45
819;72;2004-03-01;45
820;72;2005-03-01;45
821;72;2006-03-01;45
822;72;2007-03-01;45
823;72;2008-03-01;45
824;72;2009-03-01;45
825;72;2010-03-01;45
826;72;2011-03-01;45
827;72;2012-03-01;45
828;72;2013-03-01;45
829;72;2014-03-01;45
830;72;2015-03-01;45
831;72;2016-03-01;45
832;72;2017-03-01;45
833;72;2018-03-01;45
834;73;2010-03-01;20
835;73;2011-03-01;20
836;73;2012-03-01;20
837;73;2013-03-01;20
838;73;2014-03-01;20
839;73;2015-03-01;20
840;73;2016-03-01;20
841;73;2017-03-01;20
842;73;2018-03-01;20
843;75;2017-03-01;45
844;75;2018-03-01;45
845;76;2001-03-01;0
846;76;2002-03-01;0
847;76;2003-03-01;0
848;76;2004-03-01;0
849;76;2005-03-01;0
850;76;2006-03-01;0
851;76;2007-03-01;0
852;76;2008-03-01;0
853;76;2009-03-01;0
854;76;2010-03-01;0
855;76;2011-03-01;0
856;76;2012-03-01;0
857;76;2013-03-01;0
858;76;2014-03-01;0
859;76;2015-03-01;0
860;76;2016-03-01;0
861;76;2017-03-01;0
862;76;2018-03-01;0
863;77;2014-03-01;45
864;77;2015-03-01;45
865;77;2016-03-01;45
866;77;2017-03-01;45
867;77;2018-03-01;45
868;78;1976-03-01;45
869;78;1977-03-01;45
870;78;1978-03-01;45
871;78;1979-03-01;45
872;78;1980-03-01;45
873;78;1981-03-01;45
874;78;1982-03-01;45
875;78;1983-03-01;45
876;78;1984-03-01;45
877;78;1985-03-01;45
878;78;1986-03-01;45
879;78;1987-03-01;45
880;78;1988-03-01;45
881;78;1989-03-01;45
882;78;1990-03-01;45
883;78;1991-03-01;45
884;78;1992-03-01;45
885;78;1993-03-01;45
886;78;1994-03-01;45
887;78;1995-03-01;45
888;78;1996-03-01;45
889;78;1997-03-01;45
890;78;1998-03-01;45
891;78;1999-03-01;45
892;78;2000-03-01;45
893;78;2001-03-01;45
894;78;2002-03-01;45
895;78;2003-03-01;45
896;78;2004-03-01;45
897;78;2005-03-01;45
898;78;2006-03-01;45
899;78;2007-03-01;45
900;78;2008-03-01;45
901;78;2009-03-01;45
902;78;2010-03-01;45
903;78;2011-03-01;45
904;78;2012-03-01;45
905;78;2013-03-01;45
906;78;2014-03-01;45
907;78;2015-03-01;45
908;78;2016-03-01;45
909;78;2017-03-01;45
910;78;2018-03-01;45
911;79;1988-03-01;45
912;79;1989-03-01;45
913;79;1990-03-01;45
914;79;1991-03-01;45
915;79;1992-03-01;45
916;79;1993-03-01;45
917;79;1994-03-01;45
918;79;1995-03-01;45
919;79;1996-03-01;45
920;79;1997-03-01;45
921;79;1998-03-01;45
922;79;1999-03-01;45
923;79;2000-03-01;45
924;79;2001-03-01;45
925;79;2002-03-01;45
926;79;2003-03-01;45
927;79;2004-03-01;45
928;79;2005-03-01;45
929;79;2006-03-01;45
930;79;2007-03-01;45
931;79;2008-03-01;45
932;79;2009-03-01;45
933;79;2010-03-01;45
934;79;2011-03-01;45
935;79;2012-03-01;45
936;79;2013-03-01;45
937;79;2014-03-01;45
938;79;2015-03-01;45
939;79;2016-03-01;45
940;79;2017-03-01;45
941;79;2018-03-01;45
942;80;1998-03-01;45
943;80;1999-03-01;45
944;80;2000-03-01;45
945;80;2001-03-01;45
946;80;2002-03-01;45
947;80;2003-03-01;45
948;80;2004-03-01;45
949;80;2005-03-01;45
950;80;2006-03-01;45
951;82;1994-03-01;45
952;82;1995-03-01;45
953;82;1996-03-01;45
954;82;1997-03-01;45
955;82;1998-03-01;45
956;82;1999-03-01;45
957;82;2000-03-01;45
958;82;2001-03-01;45
959;82;2002-03-01;45
960;82;2003-03-01;45
961;82;2004-03-01;45
962;82;2005-03-01;45
963;82;2006-03-01;45
964;82;2007-03-01;45
965;82;2008-03-01;45
966;82;2009-03-01;45
967;82;2010-03-01;45
968;82;2011-03-01;45
969;82;2012-03-01;45
970;82;2013-03-01;45
971;82;2014-03-01;45
972;82;2015-03-01;45
973;82;2016-03-01;45
974;82;2017-03-01;45
975;82;2018-03-01;45
976;83;2014-03-01;45
977;83;2015-03-01;45
978;83;2016-03-01;45
979;83;2017-03-01;45
980;83;2018-03-01;45
981;84;2010-03-01;0
982;84;2011-03-01;0
983;84;2012-03-01;0
984;84;2013-03-01;0
985;84;2014-03-01;0
986;84;2015-03-01;0
987;84;2016-03-01;0
988;84;2017-03-01;0
989;84;2018-03-01;0
990;85;2013-03-01;20
991;85;2014-03-01;20
992;85;2015-03-01;20
993;85;2016-03-01;20
994;85;2017-03-01;20
995;85;2018-03-01;20
996;86;1977-03-01;45
997;86;1978-03-01;45
998;86;1979-03-01;45
999;86;1980-03-01;45
1000;86;1981-03-01;45
1001;86;1982-03-01;45
1002;86;1983-03-01;45
1003;86;1984-03-01;45
1004;86;1985-03-01;45
1005;86;1986-03-01;45
1006;86;1987-03-01;45
1007;86;1988-03-01;45
1008;86;1989-03-01;45
1009;86;1990-03-01;45
1010;86;1991-03-01;45
1011;86;1992-03-01;45
1012;86;1993-03-01;45
1013;86;1994-03-01;45
1014;86;1995-03-01;45
1015;86;1996-03-01;45
1016;86;1997-03-01;45
1017;86;1998-03-01;45
1018;86;1999-03-01;45
1019;86;2000-03-01;45
1020;86;2001-03-01;45
1021;86;2002-03-01;45
1022;86;2003-03-01;45
1023;86;2004-03-01;45
1024;86;2005-03-01;45
1025;86;2006-03-01;45
1026;86;2007-03-01;45
1027;86;2008-03-01;45
1028;86;2009-03-01;45
1029;86;2010-03-01;45
1030;86;2011-03-01;45
1031;86;2012-03-01;45
1032;86;2013-03-01;45
1033;86;2014-03-01;45
1034;86;2015-03-01;45
1035;86;2016-03-01;45
1036;86;2017-03-01;45
1037;86;2018-03-01;45
1038;87;1983-03-01;0
1039;87;1984-03-01;0
1040;87;1985-03-01;0
1041;87;1986-03-01;0
1042;87;1987-03-01;0
1043;87;1988-03-01;0
1044;88;1992-03-01;45
1045;88;1993-03-01;45
1046;88;1994-03-01;45
1047;88;1995-03-01;45
1048;88;1996-03-01;45
1049;88;1997-03-01;45
1050;88;1998-03-01;45
1051;88;1999-03-01;45
1052;88;2000-03-01;45
1053;88;2001-03-01;45
1054;88;2002-03-01;45
1055;88;2003-03-01;45
1056;88;2004-03-01;45
1057;88;2005-03-01;45
1058;88;2006-03-01;45
1059;88;2007-03-01;45
1060;88;2008-03-01;45
1061;88;2009-03-01;45
1062;88;2010-03-01;45
1063;88;2011-03-01;45
1064;88;2012-03-01;45
1065;88;2013-03-01;45
1066;88;2014-03-01;45
1067;88;2015-03-01;45
1068;88;2016-03-01;45
