id;member_id;member_type;member_since;member_until
107;107;free;1989-01-01;
108;108;free;2010-01-01;
109;109;full;1994-01-01;
110;110;reduction;1999-01-01;
111;111;free;2012-01-01;
112;112;free;2006-01-01;
113;113;full;2011-01-01;2017-01-01
114;114;full;2018-01-01;
115;115;combi;2016-01-01;
116;116;full;1991-01-01;2004-01-01
117;117;full;2010-01-01;2018-01-01
118;118;combi;1989-01-01;
119;119;youth;2014-01-01;
120;120;reduction;2012-01-01;
121;121;full;2011-01-01;
122;122;youth;2013-01-01;
123;123;full;1995-01-01;
124;124;full;1995-01-01;
125;125;full;1967-01-01;
126;126;full;2018-01-01;
127;127;full;2003-01-01;
128;128;reduction;1974-01-01;
129;129;youth;2013-01-01;
130;130;full;2008-01-01;
131;131;full;1973-01-01;
132;132;youth;2017-01-01;
133;133;full;2005-01-01;
134;134;full;2018-01-01;
135;135;full;2004-01-01;
136;136;full;2011-01-01;
137;137;full;2000-01-01;2004-01-01
138;138;full;1991-01-01;
139;139;free;2000-01-01;
140;140;full;2000-01-01;
141;141;full;1996-01-01;2018-01-01
142;142;youth;2014-01-01;2016-01-01
143;143;full;1984-01-01;
144;144;full;2011-01-01;
145;145;combi;2016-01-01;
146;146;full;2011-01-01;2018-01-01
147;147;reduction;2005-01-01;
148;148;youth;2016-01-01;
149;149;free;2000-01-01;
150;150;full;2004-01-01;
151;151;youth;2002-01-01;
152;152;full;1968-01-01;
153;153;full;2018-01-01;
154;154;reduction;2011-01-01;
155;155;full;2015-01-01;
156;156;full;1973-01-01;
157;157;full;1987-01-01;
158;158;full;1998-01-01;
159;159;full;2003-01-01;
160;160;full;2010-01-01;2012-01-01
161;161;full;2011-01-01;
162;162;free;2015-01-01;
163;163;full;2001-01-01;2001-01-01
164;164;full;1969-01-01;
165;165;full;1979-01-01;1982-01-01
166;166;free;2016-01-01;
167;167;full;1982-01-01;
168;168;combi;2011-01-01;
169;169;full;2014-01-01;
170;170;full;2015-01-01;
171;171;full;2014-01-01;
172;172;full;2005-01-01;2009-01-01
173;173;full;2018-01-01;
174;174;full;2015-01-01;
175;175;full;1998-01-01;
176;176;free;1972-01-01;
177;177;full;2003-01-01;2004-01-01
178;178;full;2001-01-01;
179;179;full;1975-01-01;
180;180;full;1997-01-01;2009-01-01
181;181;full;2017-01-01;
182;182;full;2000-01-01;
183;183;full;2015-01-01;
184;184;combi;2009-01-01;2017-01-01
185;185;full;1984-01-01;
186;186;youth;2017-01-01;
187;187;full;1973-01-01;
188;188;full;2001-01-01;
189;189;full;1978-01-01;
190;190;reduction;2017-01-01;
191;191;full;1977-01-01;
192;192;full;2012-01-01;
193;193;combi;2007-01-01;
194;194;full;2004-01-01;
195;195;full;2006-01-01;
196;196;full;1991-01-01;
197;197;combi;2018-01-01;
198;198;full;1998-01-01;
199;199;reduction;2003-01-01;
200;200;full;2018-01-01;2018-01-01
201;201;full;1995-01-01;
202;202;youth;2016-01-01;
203;203;full;1983-01-01;
204;204;full;1996-01-01;
205;205;full;1989-01-01;
206;206;full;1988-01-01;2013-01-01
207;207;youth;2014-01-01;
208;208;full;2003-01-01;
209;209;full;2011-01-01;
210;210;full;2014-01-01;2017-01-01
211;211;youth;2017-01-01;
212;212;full;2007-01-01;
213;213;reduction;2015-01-01;
214;214;full;2018-01-01;
215;215;full;2002-01-01;
216;216;full;2016-01-01;
217;217;reduction;2003-01-01;
218;218;reduction;2007-01-01;2018-01-01
219;219;full;2007-01-01;
220;220;reduction;2011-01-01;2015-01-01
221;221;combi;2018-01-01;2018-01-01
222;222;youth;2012-01-01;
223;223;reduction;1988-01-01;
224;224;full;1992-01-01;
225;225;reduction;2009-01-01;2018-01-01
226;226;reduction;2016-01-01;
227;227;full;2001-01-01;
228;228;combi;2007-01-01;
229;229;free;2017-01-01;
230;230;youth;2018-01-01;
231;231;full;2012-01-01;
232;232;full;2006-01-01;
233;233;full;2018-01-01;
234;234;reduction;2016-01-01;
235;235;full;2010-01-01;
236;236;youth;2016-01-01;
237;237;combi;2017-01-01;
238;238;full;2011-01-01;
239;239;full;1972-01-01;
240;240;full;1985-01-01;
241;241;full;2017-01-01;2017-01-01
242;242;full;2005-01-01;2008-01-01
243;243;reduction;2012-01-01;
244;244;full;2011-01-01;
245;245;combi;2007-01-01;
246;246;full;2004-01-01;
247;247;full;2000-01-01;
248;248;full;2015-01-01;
249;249;full;1980-01-01;
250;250;full;1991-01-01;
251;251;reduction;2001-01-01;
252;252;full;1982-01-01;
253;253;full;1997-01-01;
254;254;full;2005-01-01;
255;255;combi;2016-01-01;
256;256;full;2000-01-01;2005-01-01
257;257;combi;2007-01-01;
258;258;full;2004-01-01;
259;259;combi;2016-01-01;2016-01-01
260;260;combi;2006-01-01;
261;261;youth;2016-01-01;
262;262;combi;2010-01-01;
263;263;combi;2008-01-01;2010-01-01
264;264;full;2001-01-01;
265;265;full;2015-01-01;2018-01-01
266;266;full;1976-01-01;
267;267;full;1969-01-01;1969-01-01
268;268;full;1991-01-01;
269;269;full;1965-01-01;
270;270;full;2000-01-01;
271;271;full;2018-01-01;2018-01-01
272;272;full;2006-01-01;
273;273;combi;2010-01-01;2016-01-01
274;274;full;1986-01-01;
275;275;full;2004-01-01;
276;276;free;1999-01-01;
277;277;full;1993-01-01;2017-01-01
278;278;full;2007-01-01;2017-01-01
279;279;reduction;1998-01-01;
280;280;full;1988-01-01;
281;281;full;2014-01-01;
282;282;full;1987-01-01;
283;283;reduction;2016-01-01;
284;284;combi;2013-01-01;
285;285;combi;2013-01-01;
286;286;combi;2011-01-01;
287;287;full;2015-01-01;
288;288;full;1995-01-01;
289;289;full;2018-01-01;
290;290;full;1993-01-01;
291;291;full;2013-01-01;
292;292;full;2002-01-01;
293;293;youth;2015-01-01;
294;294;full;2000-01-01;
295;295;combi;2007-01-01;2016-01-01
296;296;reduction;2018-01-01;
297;297;full;2008-01-01;
298;298;full;2013-01-01;
299;299;full;1989-01-01;
300;300;full;2016-01-01;
301;301;full;1986-01-01;
302;302;full;1994-01-01;2004-01-01
303;303;full;2009-01-01;
304;304;full;2011-01-01;2015-01-01
305;305;full;2005-01-01;
306;306;youth;2016-01-01;
307;307;full;2000-01-01;2015-01-01
308;308;full;1989-01-01;
309;309;full;1991-01-01;
310;310;reduction;2002-01-01;
311;311;full;1991-01-01;
312;312;full;1984-01-01;
313;313;full;1987-01-01;
314;314;full;1985-01-01;
315;315;free;2011-01-01;
316;316;reduction;2003-01-01;
317;317;youth;2013-01-01;
318;318;full;2004-01-01;2012-01-01
319;319;full;2004-01-01;2005-01-01
320;320;full;2015-01-01;
321;321;reduction;2013-01-01;
322;322;full;1989-01-01;
323;323;youth;2015-01-01;
324;324;full;2009-01-01;2017-01-01
325;325;full;1981-01-01;
326;326;full;2007-01-01;
327;327;full;1988-01-01;
328;328;combi;2012-01-01;2018-01-01
329;329;full;2016-01-01;2018-01-01
330;330;full;2005-01-01;
331;331;full;1972-01-01;
332;332;youth;2017-01-01;
333;333;full;1993-01-01;
334;334;full;1974-01-01;
335;335;full;1988-01-01;
336;336;full;2012-01-01;2013-01-01
337;337;full;2009-01-01;
338;338;youth;2018-01-01;2018-01-01
339;339;full;1978-01-01;
340;340;youth;2017-01-01;
341;341;full;2017-01-01;
342;342;full;2013-01-01;
343;343;full;1997-01-01;
344;344;full;1987-01-01;
345;345;full;1973-01-01;
346;346;combi;2018-01-01;
347;347;youth;2018-01-01;
348;348;full;1990-01-01;
349;349;full;1999-01-01;
350;350;youth;2018-01-01;
351;351;full;2016-01-01;
352;352;reduction;1999-01-01;
353;353;full;1999-01-01;
354;354;free;1992-01-01;2007-01-01
355;355;full;1994-01-01;
356;356;full;2008-01-01;
357;357;combi;2014-01-01;
358;358;full;2017-01-01;
359;359;free;2016-01-01;2018-01-01
360;360;full;2009-01-01;
361;361;full;1997-01-01;2017-01-01
362;362;full;1986-01-01;
363;363;full;2000-01-01;
364;364;full;1996-01-01;
365;365;full;2015-01-01;
366;366;full;2010-01-01;
367;367;youth;2016-01-01;
368;368;full;2002-01-01;
369;369;full;1985-01-01;
370;370;full;1996-01-01;
371;371;full;1991-01-01;2013-01-01
372;372;full;1962-01-01;
373;373;reduction;2010-01-01;
374;374;full;1986-01-01;2012-01-01
375;375;full;2006-01-01;2006-01-01
376;376;full;2014-01-01;
377;377;full;1964-01-01;
378;378;full;2014-01-01;
379;379;full;1975-01-01;
380;380;combi;2011-01-01;2011-01-01
381;381;combi;2004-01-01;
382;382;full;2017-01-01;
383;383;full;2007-01-01;
384;384;full;2010-01-01;
385;385;full;1992-01-01;2004-01-01
386;386;full;2018-01-01;
387;387;free;2006-01-01;
388;388;reduction;2005-01-01;
389;389;combi;2015-01-01;
390;390;full;2003-01-01;
391;391;full;1961-01-01;
392;392;full;1974-01-01;
393;393;full;2010-01-01;
394;394;reduction;2003-01-01;
395;395;youth;2013-01-01;
396;396;full;1994-01-01;
397;397;full;2002-01-01;
398;398;full;1995-01-01;2003-01-01
399;399;full;2005-01-01;
400;400;reduction;1993-01-01;
401;401;full;2015-01-01;
402;402;reduction;1996-01-01;1998-01-01
403;403;full;1982-01-01;2002-01-01
404;404;youth;2018-01-01;
405;405;youth;2012-01-01;
406;406;full;2018-01-01;
407;407;full;2004-01-01;
408;408;full;2013-01-01;
409;409;full;1971-01-01;1985-01-01
410;410;full;1976-01-01;
411;411;full;2013-01-01;
412;412;full;2017-01-01;2017-01-01
413;413;full;2018-01-01;
414;414;full;2007-01-01;2014-01-01
415;415;full;1972-01-01;
416;416;full;2000-01-01;2007-01-01
417;417;youth;2017-01-01;
418;418;full;2015-01-01;
419;419;combi;2012-01-01;
420;420;full;2010-01-01;
421;421;full;2006-01-01;
422;422;full;1983-01-01;
423;423;full;2018-01-01;
424;424;combi;2012-01-01;
425;425;full;2015-01-01;
426;426;reduction;1994-01-01;
427;427;full;1995-01-01;
428;428;full;2014-01-01;
429;429;youth;2018-01-01;
430;430;combi;2018-01-01;2018-01-01
431;431;full;1986-01-01;
432;432;full;2008-01-01;
433;433;reduction;1987-01-01;1990-01-01
434;434;full;1998-01-01;
435;435;combi;2016-01-01;
436;436;full;2012-01-01;
437;437;full;1980-01-01;
438;438;full;2015-01-01;
439;439;full;2003-01-01;2016-01-01
440;440;full;2011-01-01;
441;441;full;2003-01-01;
442;442;full;1993-01-01;
443;443;combi;2013-01-01;
444;444;full;2002-01-01;2015-01-01
445;445;full;2004-01-01;
446;446;full;2011-01-01;
447;447;full;1986-01-01;2007-01-01
448;448;full;2016-01-01;
449;449;full;2008-01-01;
450;450;full;2008-01-01;
451;451;full;2007-01-01;
452;452;youth;2018-01-01;2018-01-01
453;453;full;1993-01-01;1999-01-01
454;454;youth;2016-01-01;
455;455;full;2017-01-01;
456;456;full;2005-01-01;
457;457;full;1995-01-01;
458;458;full;2010-01-01;
459;459;full;1997-01-01;2004-01-01
460;460;full;2010-01-01;
461;461;youth;2017-01-01;2018-01-01
462;462;full;2015-01-01;
463;463;youth;2016-01-01;
464;464;youth;2015-01-01;2018-01-01
465;465;full;2002-01-01;
466;466;youth;2015-01-01;2018-01-01
467;467;full;2016-01-01;2016-01-01
468;468;full;2016-01-01;
469;469;full;1988-01-01;
470;470;free;1997-01-01;
471;471;full;1970-01-01;
472;472;reduction;2001-01-01;
473;473;reduction;2001-01-01;
474;474;youth;2017-01-01;
475;475;full;1987-01-01;2016-01-01
476;476;combi;2004-01-01;
477;477;full;1989-01-01;
478;478;full;1996-01-01;2017-01-01
479;479;full;2012-01-01;
480;480;full;1994-01-01;
481;481;full;1993-01-01;
482;482;full;2013-01-01;
483;483;combi;2018-01-01;2018-01-01
484;484;full;1999-01-01;
485;485;youth;2017-01-01;
486;486;full;2014-01-01;
487;487;full;2012-01-01;2015-01-01
488;488;full;2012-01-01;
489;489;full;2013-01-01;
490;490;full;2018-01-01;
491;491;full;1981-01-01;
492;492;full;1988-01-01;
493;493;full;2009-01-01;
494;494;full;2009-01-01;
495;495;full;2015-01-01;2015-01-01
496;496;full;2004-01-01;
497;497;full;2008-01-01;
498;498;full;2015-01-01;
499;499;full;1992-01-01;
500;500;free;2008-01-01;
501;501;full;2008-01-01;
502;502;youth;2015-01-01;2018-01-01
503;503;full;2012-01-01;
504;504;reduction;2002-01-01;
505;505;combi;2011-01-01;
506;506;full;2010-01-01;
507;507;youth;2015-01-01;
508;508;full;1975-01-01;
509;509;full;1996-01-01;
510;510;combi;2003-01-01;
511;511;full;2009-01-01;2013-01-01
512;512;full;1997-01-01;2002-01-01
513;513;full;1978-01-01;
514;514;youth;2015-01-01;
515;515;combi;2012-01-01;
516;516;reduction;2005-01-01;
517;517;full;2009-01-01;2013-01-01
518;518;reduction;1993-01-01;
519;519;full;2017-01-01;
520;520;combi;2014-01-01;2014-01-01
521;521;full;2018-01-01;
522;522;full;2015-01-01;
523;523;full;1987-01-01;
524;524;full;2010-01-01;
525;525;full;1988-01-01;
526;526;full;2016-01-01;
527;527;full;2015-01-01;
528;528;full;1968-01-01;
529;529;full;1995-01-01;2005-01-01
530;530;full;1977-01-01;2007-01-01
531;531;full;1979-01-01;
532;532;full;2013-01-01;
533;533;youth;2017-01-01;
534;534;full;2007-01-01;
535;535;youth;2015-01-01;
536;536;combi;2018-01-01;2018-01-01
537;537;reduction;2014-01-01;
538;538;full;1975-01-01;
539;539;full;1974-01-01;
540;540;full;2018-01-01;
541;541;full;1987-01-01;1998-01-01
542;542;combi;2003-01-01;
543;543;full;2010-01-01;
544;544;full;2016-01-01;2016-01-01
545;545;full;2008-01-01;
546;546;full;2007-01-01;
547;547;full;2005-01-01;2008-01-01
548;548;full;2001-01-01;2012-01-01
549;549;full;2004-01-01;
550;550;full;2010-01-01;
551;551;full;2009-01-01;2016-01-01
552;552;youth;2015-01-01;2018-01-01
553;553;full;1994-01-01;
554;554;free;1995-01-01;
555;555;full;2007-01-01;
556;556;combi;2014-01-01;
557;557;full;2013-01-01;
558;558;full;1987-01-01;2018-01-01
559;559;youth;2013-01-01;
560;560;full;1991-01-01;2008-01-01
561;561;combi;2009-01-01;
562;562;full;2016-01-01;2018-01-01
563;563;full;2006-01-01;
564;564;full;2015-01-01;
565;565;combi;2012-01-01;
566;566;full;2016-01-01;
567;567;full;2006-01-01;
568;568;reduction;1991-01-01;2003-01-01
569;569;full;2009-01-01;
570;570;full;2010-01-01;
571;571;full;1995-01-01;
572;572;combi;2009-01-01;
573;573;full;2014-01-01;2014-01-01
574;574;full;2010-01-01;
575;575;full;1993-01-01;2014-01-01
576;576;full;2018-01-01;
577;577;reduction;1996-01-01;
578;578;full;1985-01-01;
579;579;full;2003-01-01;
580;580;combi;2014-01-01;
581;581;full;2018-01-01;
582;582;full;2002-01-01;
583;583;combi;2018-01-01;
584;584;full;2003-01-01;2011-01-01
585;585;free;1984-01-01;
586;586;full;2001-01-01;
587;587;full;1988-01-01;
588;588;full;2007-01-01;
589;589;full;2012-01-01;
590;590;full;2008-01-01;2017-01-01
591;591;full;2008-01-01;
592;592;full;2014-01-01;
593;593;combi;2007-01-01;
594;594;full;1993-01-01;
595;595;combi;2009-01-01;2015-01-01
596;596;full;2008-01-01;2008-01-01
597;597;full;2013-01-01;2014-01-01
598;598;full;2007-01-01;2015-01-01
599;599;full;1992-01-01;2001-01-01
600;600;full;2009-01-01;
601;601;reduction;2018-01-01;
602;602;full;2009-01-01;
603;603;combi;2013-01-01;
604;604;full;1991-01-01;
605;605;youth;2015-01-01;
606;606;reduction;2018-01-01;2018-01-01
607;607;full;1992-01-01;
608;608;full;2005-01-01;
609;609;full;2008-01-01;2017-01-01
610;610;full;1992-01-01;
611;611;youth;2014-01-01;
612;612;combi;2016-01-01;
613;613;free;1988-01-01;
614;614;free;2011-01-01;
615;615;full;1999-01-01;2003-01-01
616;616;full;1992-01-01;
617;617;full;2008-01-01;
618;618;full;2017-01-01;
619;619;full;1996-01-01;
620;620;full;2012-01-01;2018-01-01
621;621;full;2014-01-01;
622;622;reduction;2017-01-01;
623;623;combi;2011-01-01;
624;624;full;2011-01-01;2017-01-01
625;625;full;2008-01-01;
626;626;full;2018-01-01;
627;627;free;2012-01-01;
628;628;free;2004-01-01;2017-01-01
629;629;combi;2008-01-01;
630;630;full;1969-01-01;
631;631;youth;2017-01-01;
632;632;full;2008-01-01;2015-01-01
633;633;full;2008-01-01;
634;634;reduction;1984-01-01;
635;635;full;2016-01-01;2017-01-01
636;636;free;2002-01-01;
637;637;full;2008-01-01;
638;638;full;2018-01-01;
639;639;full;2010-01-01;
640;640;full;2001-01-01;2004-01-01
641;641;full;2003-01-01;2018-01-01
642;642;reduction;1987-01-01;
643;643;full;1991-01-01;2016-01-01
644;644;full;2018-01-01;
645;645;full;1998-01-01;
646;646;full;2010-01-01;
647;647;free;2017-01-01;
648;648;full;2013-01-01;
649;649;full;2001-01-01;
650;650;full;1985-01-01;
651;651;full;1983-01-01;
652;652;full;2000-01-01;
653;653;full;1996-01-01;
654;654;reduction;1985-01-01;
655;655;full;2014-01-01;2017-01-01
656;656;full;2013-01-01;2018-01-01
657;657;youth;2001-01-01;2008-01-01
658;658;full;1979-01-01;
659;659;full;2018-01-01;
660;660;full;2003-01-01;
661;661;full;1988-01-01;2003-01-01
662;662;full;2008-01-01;
663;663;full;2004-01-01;
664;664;reduction;1999-01-01;2008-01-01
665;665;full;1980-01-01;
666;666;combi;2013-01-01;2013-01-01
667;667;full;2014-01-01;
668;668;full;2004-01-01;2006-01-01
669;669;combi;2012-01-01;
670;670;reduction;2000-01-01;
671;671;full;2000-01-01;2014-01-01
672;672;combi;2017-01-01;
673;673;full;2011-01-01;
674;674;youth;2016-01-01;2016-01-01
675;675;full;2010-01-01;
676;676;full;2012-01-01;
677;677;full;1996-01-01;
678;678;full;2011-01-01;
679;679;free;1999-01-01;
680;680;full;1991-01-01;
681;681;free;2008-01-01;
682;682;full;2003-01-01;
683;683;reduction;2006-01-01;
684;684;full;1993-01-01;
685;685;full;2011-01-01;2014-01-01
686;686;youth;2016-01-01;
687;687;youth;2015-01-01;
688;688;full;2008-01-01;
689;689;youth;2013-01-01;
690;690;youth;2015-01-01;
691;691;free;1971-01-01;1984-01-01
692;692;combi;2010-01-01;
693;693;combi;2010-01-01;2011-01-01
694;694;full;1998-01-01;
695;695;combi;2014-01-01;
696;696;reduction;2017-01-01;
697;697;full;2016-01-01;2017-01-01
698;698;full;2013-01-01;
699;699;full;1981-01-01;
700;700;combi;2012-01-01;
701;701;full;1975-01-01;
702;702;youth;2015-01-01;
703;703;full;1994-01-01;1998-01-01
704;704;full;2005-01-01;
705;705;combi;2008-01-01;
706;706;full;2007-01-01;
707;707;full;2010-01-01;
708;708;full;1996-01-01;
709;709;full;2013-01-01;
710;710;combi;2007-01-01;
711;711;full;1998-01-01;2006-01-01
712;712;reduction;2015-01-01;
713;713;full;1968-01-01;
714;714;full;2016-01-01;
715;715;full;2018-01-01;2018-01-01
716;716;full;2009-01-01;2009-01-01
717;717;full;2007-01-01;
718;718;full;1989-01-01;
719;719;reduction;1985-01-01;
720;720;reduction;2015-01-01;
721;721;full;2012-01-01;
722;722;full;2011-01-01;
723;723;full;2017-01-01;
724;724;combi;2016-01-01;
725;725;full;1996-01-01;
726;726;youth;2011-01-01;
727;727;full;2014-01-01;
728;728;full;1999-01-01;
729;729;full;1979-01-01;2003-01-01
730;730;full;2000-01-01;
731;731;full;1981-01-01;
732;732;combi;2016-01-01;
733;733;reduction;2002-01-01;
734;734;full;2012-01-01;
735;735;full;1992-01-01;
736;736;combi;2010-01-01;
737;737;reduction;2001-01-01;
738;738;full;1994-01-01;
739;739;full;1997-01-01;2003-01-01
740;740;full;1992-01-01;2012-01-01
741;741;full;2011-01-01;2014-01-01
742;742;full;1975-01-01;
743;743;full;2018-01-01;
744;744;reduction;1974-01-01;2004-01-01
745;745;full;1981-01-01;
746;746;full;2018-01-01;2018-01-01
747;747;full;2014-01-01;
748;748;full;2008-01-01;
749;749;reduction;2009-01-01;
750;750;reduction;2014-01-01;
751;751;full;1971-01-01;
752;752;full;2018-01-01;
753;753;full;1991-01-01;
754;754;full;2015-01-01;
755;755;combi;2012-01-01;
756;756;combi;2011-01-01;
757;757;full;1999-01-01;
758;758;free;1980-01-01;
759;759;full;1992-01-01;
760;760;youth;2015-01-01;
761;761;full;2002-01-01;
762;762;full;2007-01-01;
763;763;full;1971-01-01;
764;764;full;1971-01-01;
765;765;full;1980-01-01;
766;766;free;1962-01-01;1971-01-01
767;767;full;2002-01-01;
768;768;combi;2003-01-01;
769;769;youth;2017-01-01;2017-01-01
770;770;full;2008-01-01;2010-01-01
771;771;full;1993-01-01;
772;772;combi;2013-01-01;
773;773;reduction;2009-01-01;
774;774;full;1986-01-01;
775;775;full;1976-01-01;
776;776;full;2009-01-01;
777;777;full;2018-01-01;
778;778;full;2003-01-01;
779;779;full;2010-01-01;2017-01-01
780;780;full;2008-01-01;
781;781;full;2018-01-01;
782;782;full;2014-01-01;
783;783;combi;2010-01-01;
784;784;reduction;2012-01-01;2018-01-01
785;785;full;2017-01-01;2017-01-01
786;786;full;2000-01-01;
787;787;full;1972-01-01;1992-01-01
788;788;full;1995-01-01;2001-01-01
789;789;full;2013-01-01;
790;790;full;2018-01-01;2018-01-01
791;791;full;1984-01-01;
792;792;youth;2016-01-01;
793;793;full;1991-01-01;2014-01-01
794;794;full;2009-01-01;
795;795;full;2012-01-01;
796;796;full;2007-01-01;2018-01-01
797;797;youth;2015-01-01;
798;798;full;2016-01-01;
799;799;combi;2012-01-01;
800;800;full;2006-01-01;
801;801;full;2017-01-01;
802;802;full;2015-01-01;
803;803;full;2010-01-01;
804;804;full;1977-01-01;
805;805;combi;2018-01-01;
806;806;youth;2015-01-01;
807;807;combi;2010-01-01;2014-01-01
808;808;combi;2009-01-01;
809;809;full;2015-01-01;2016-01-01
810;810;full;2004-01-01;
811;811;full;1987-01-01;
812;812;full;1966-01-01;2004-01-01
813;813;full;2001-01-01;
814;814;full;1990-01-01;
815;815;full;2012-01-01;
816;816;full;2006-01-01;
817;817;full;2009-01-01;2018-01-01
818;818;full;1998-01-01;
819;819;full;2014-01-01;2015-01-01
820;820;full;1993-01-01;
821;821;full;1971-01-01;
822;822;free;2010-01-01;
823;823;full;1986-01-01;
824;824;full;2015-01-01;
825;825;full;2011-01-01;
826;826;youth;2012-01-01;
827;827;full;1970-01-01;
828;828;full;2018-01-01;2018-01-01
829;829;free;2015-01-01;
830;830;full;2005-01-01;
831;831;full;2009-01-01;2014-01-01
832;832;full;1997-01-01;
833;833;full;1986-01-01;
834;834;combi;2017-01-01;
835;835;free;2017-01-01;
836;836;full;1968-01-01;
837;837;full;2007-01-01;
838;838;full;1993-01-01;2018-01-01
839;839;full;1995-01-01;
840;840;full;1990-01-01;
841;841;full;1994-01-01;
842;842;combi;2018-01-01;
843;843;full;2007-01-01;
844;844;full;2014-01-01;
845;845;full;1998-01-01;
846;846;combi;2010-01-01;
847;847;free;1991-01-01;
848;848;full;2013-01-01;2013-01-01
849;849;full;2018-01-01;
850;850;combi;2011-01-01;
851;851;full;1998-01-01;
852;852;reduction;1987-01-01;
853;853;full;2008-01-01;2013-01-01
854;854;full;1987-01-01;
855;855;free;2003-01-01;
856;856;full;2006-01-01;2009-01-01
857;857;full;2011-01-01;
858;858;full;1970-01-01;
859;859;full;2011-01-01;
860;860;reduction;1997-01-01;
861;861;full;2014-01-01;2017-01-01
862;862;combi;2015-01-01;
863;863;free;2016-01-01;2017-01-01
864;864;full;1992-01-01;
865;865;free;1969-01-01;
866;866;full;2004-01-01;
867;867;full;1995-01-01;2008-01-01
868;868;reduction;1982-01-01;
869;869;combi;2013-01-01;2018-01-01
870;870;full;2013-01-01;
871;871;full;2002-01-01;
872;872;full;2000-01-01;
873;873;reduction;1961-01-01;
874;874;full;2011-01-01;
875;875;full;1964-01-01;
876;876;full;2003-01-01;
877;877;reduction;2015-01-01;
878;878;full;2000-01-01;
879;879;combi;2015-01-01;
880;880;full;1991-01-01;
881;881;reduction;1981-01-01;
882;882;full;1991-01-01;
883;883;full;2015-01-01;
884;884;full;1991-01-01;
885;885;full;2002-01-01;2002-01-01
886;886;full;2002-01-01;2010-01-01
887;887;free;1985-01-01;
888;888;full;2016-01-01;2016-01-01
889;889;full;2010-01-01;
890;890;full;2002-01-01;2014-01-01
891;891;full;2011-01-01;
892;892;full;2016-01-01;
